ASA	Asparagine	Aspartate	betaAlanine	Brix	Citrate	DHA	Erythritol	Fructose	Fucose	GABA	Galacturonate	Glucuronate	Glutamate	Glutamine	Glutarate2oxo	Glycerol3P	Inositol1P	Lysine	Malate	Maltitol	Maltose	Methionine	Nicotinate	Phenylalanine	Proline	Putrescine	Rhamnose	Saccharate	Serine	Sucrose	Threonate	Threonine	Tocopherol	Tyramine	Xylose
1.334449236	0.090025565	-0.011842735	-0.033062056	5.65	0.501505574	-0.181882471	-0.330888831	0.342206886	-0.087391254	0.313925845	0.72493927	0.748817313	0.620297876	-0.3693323	0.149250201	-0.246198405	-0.002137678	-0.19197417	0.347519149	-0.11240791	0.00648165	0.235321815	-0.084034289	-0.152707797	-0.805405222	0.126975211	0.476826238	0.083089483	0.080304577	-0.222866339	-0.005480016	0.110000952	0.431154634	-0.186476866	0.149583495
1.466140246	0.192124934	-0.349223218	0.523416491	6.483333333	0.64093375	0.033045566	-0.534918448	0.597458182	-0.055648817	0.448501367	1.098987192	1.127969459	0.01703299	0.043939206	-0.322600603	-0.044850841	-0.031818882	0.103430084	0.254064677	0.13918265	-0.288489115	1.378781541	-0.171762379	0.249333015	-0.362769428	0.163301121	0.374959735	0.216205938	0.285578873	0.048504995	-0.299516565	0.141911221	0.438653095	0.01535996	0.063751305
1.351281543	0.281215519	0.022047282	0.374358921	6.35	0.922548438	-0.122014169	-0.259144289	0.520403922	-0.067743728	0.482497507	1.114897685	1.04783483	0.625433245	-0.027461725	-0.11881286	-0.046747588	-0.03173804	0.126330403	0.177140342	-0.196894077	-0.178343782	0.539651513	-0.173498697	0.208941705	-0.655378379	0.213569984	0.569821526	0.123665184	0.363233706	0.013627	0.03618978	0.374962989	0.464505635	-0.13652229	0.276555328
1.456428378	0.330281215	0.06467712	-0.480509242	5	0.911261278	-0.035272759	-0.012108467	0.159164382	-0.01932409	-0.331841181	0.941026979	0.955876793	0.195986055	-0.099542516	-0.472525161	-0.094815132	-0.076035903	0.064181674	-0.014581882	-0.303636224	-0.231128993	0.528854109	-0.141764728	-0.5150374	-1.187649576	0.069896083	0.476834104	-0.559294188	-0.312814706	-0.25667998	0.073685221	-0.121893344	0.16430636	-0.138417924	0.265214182
1.33338393	0.464806174	0.23645348	0.384400648	7.366666667	0.197784394	-0.075935845	-0.0712882	0.610884053	0.038688027	0.349166691	0.391660393	0.430725318	0.783137743	0.047805786	0.091789126	0.029675169	0.025445323	0.263932224	0.080751169	0.114199838	0.11308679	0.822522836	0.0521559	0.28985749	0.132909876	-0.028513645	0.862528844	0.109090456	0.382354304	0.068494645	0.254844006	0.379160023	0.474682237	-0.070370835	0.122518328
1.368857614	0.146481019	0.109968139	-0.050755896	6.233333333	0.497148187	-0.106352035	-0.011140792	0.530370621	-0.028394726	0.068021184	0.710829051	0.697175567	0.579855721	0.039303762	-0.167595929	0.078855486	0.002076211	-0.037729313	-0.149955051	-0.021960919	-0.15716338	0.262024185	0.020973018	0.117732381	-0.11044669	-0.13761476	0.597982155	0.235393155	-0.06089285	0.001740299	0.115684875	0.085954095	0.851209028	-0.29184087	0.315028683
1.601860719	0.40173459	-0.1627727	0.253395824	8.966666667	0.757543434	0.256088024	-0.030982711	0.704184579	-0.014628207	0.239064059	0.127802181	0.109110077	0.298900957	0.306451755	0.105342036	0.172509138	0.254788486	0.385387589	0.039915064	0.25306839	-0.094428619	0.816957921	0.190565414	0.471558898	0.086938004	0.420681959	0.224832929	-0.045624104	0.410760961	0.27980205	-0.105570953	0.325890494	0.525882421	-0.013960267	0.365173662
1.523601485	-0.129011232	-0.429624452	0.300203634	5.983333333	0.478565685	-0.043775502	-0.303739577	0.49327173	-0.149941126	0.476648237	0.770755713	0.791071421	0.350755686	-0.359390877	0.374868056	-0.003501213	0.133382969	-0.208761035	0.422215675	0.020037277	-0.083739054	0.296730342	-0.15467554	-0.172757505	-0.605622948	-0.00027918	0.507039958	0.023254225	0.363393379	-0.159006708	-0.352509262	0.184233983	0.681035285	-0.091026703	0.308511848
1.676903369	-0.290710767	0.044637392	-0.032095492	8.766666667	0.449927621	0.23558106	-0.09380361	0.882603319	0.036385773	0.217411228	0.830654369	0.805880793	0.888380942	-0.472567897	-0.063185524	0.064028532	0.112418584	0.201937398	-0.604938307	0.330488416	0.05930029	0.798054007	0.198288829	0.094814965	0.311938966	-0.136812695	0.994415344	-0.145428637	-0.067914132	0.274332173	0.056527332	-0.036051447	0.966045266	0.180272891	0.432518775
1.673760501	0.159414175	0.20543989	-0.063620988	11.4	0.695124964	0.364977229	-0.186794684	0.741534135	0.104956908	-0.132520414	-0.362820718	-0.325300677	1.277059433	0.026389396	0.275026652	0.138922407	0.188451769	0.172819205	0.130820486	0.285636118	0.126989528	0.868982975	0.381508728	0.3101211	0.479936708	0.28959913	0.951157694	0.271390211	0.39229146	0.289409895	0.222297325	0.35799781	0.456908503	0.148783336	0.187684849
